Date,Open,High,Low,Close,Adj Close,Volume
25-01-1999,0.442708,0.458333,0.410156,0.453125,0.415743,51048000
26-01-1999,0.458333,0.467448,0.411458,0.417969,0.383487,34320000
27-01-1999,0.419271,0.429688,0.395833,0.416667,0.382293,24436800
28-01-1999,0.416667,0.419271,0.41276,0.415365,0.381098,22752000
29-01-1999,0.415365,0.416667,0.395833,0.395833,0.363177,24403200
01-02-1999,0.395833,0.40625,0.395833,0.403646,0.370346,15470400
02-02-1999,0.395833,0.40625,0.360677,0.372396,0.341674,26409600
03-02-1999,0.367188,0.385417,0.364583,0.380208,0.348841,7512000
04-02-1999,0.385417,0.411458,0.380208,0.401042,0.367957,18192000
05-02-1999,0.407552,0.416667,0.397135,0.41276,0.378708,13684800
08-02-1999,0.415365,0.416667,0.398438,0.398438,0.365567,15408000
09-02-1999,0.40625,0.408854,0.377604,0.382813,0.351232,8697600
10-02-1999,0.382813,0.393229,0.372396,0.378906,0.347647,14822400
11-02-1999,0.380208,0.427083,0.380208,0.411458,0.377513,13224000
12-02-1999,0.416667,0.4375,0.416667,0.434896,0.399018,10972800
16-02-1999,0.442708,0.460938,0.393229,0.4375,0.401407,21100800
17-02-1999,0.427083,0.432292,0.40625,0.414063,0.379903,6772800
18-02-1999,0.427083,0.432292,0.408854,0.420573,0.385876,7070400
19-02-1999,0.416667,0.442708,0.411458,0.434896,0.399018,7536000
22-02-1999,0.442708,0.447917,0.414063,0.4375,0.401407,20524800
23-02-1999,0.447917,0.467448,0.421875,0.458333,0.420521,13809600
24-02-1999,0.526042,0.546875,0.483073,0.494792,0.453972,61276800
25-02-1999,0.515625,0.53125,0.471354,0.479167,0.439636,14913600
26-02-1999,0.484375,0.5,0.453125,0.457031,0.419327,17260800
01-03-1999,0.46875,0.479167,0.4375,0.459635,0.421716,9216000
02-03-1999,0.458333,0.460938,0.447917,0.455729,0.418132,5524800
03-03-1999,0.458333,0.458333,0.421875,0.424479,0.38946,6139200
04-03-1999,0.445313,0.447917,0.411458,0.415365,0.381098,5736000
05-03-1999,0.419271,0.440104,0.419271,0.438802,0.402601,7876800
08-03-1999,0.427083,0.458333,0.419271,0.445313,0.408575,7588800
09-03-1999,0.44401,0.466146,0.44401,0.459635,0.421716,14318400
10-03-1999,0.466146,0.466146,0.445313,0.451823,0.414548,23534400
11-03-1999,0.44401,0.451823,0.432292,0.432292,0.396629,5428800
12-03-1999,0.434896,0.434896,0.416667,0.424479,0.38946,9076800
15-03-1999,0.434896,0.447917,0.432292,0.442708,0.406185,10881600
16-03-1999,0.445313,0.450521,0.424479,0.428385,0.393044,7915200
17-03-1999,0.432292,0.440104,0.420573,0.43099,0.395434,5136000
18-03-1999,0.432292,0.442708,0.421875,0.436198,0.400212,4632000
19-03-1999,0.434896,0.450521,0.434896,0.4375,0.401407,10531200
22-03-1999,0.446615,0.447917,0.424479,0.424479,0.38946,3667200
23-03-1999,0.427083,0.427083,0.390625,0.398438,0.365567,16396800
24-03-1999,0.395833,0.398438,0.380208,0.395833,0.363177,6086400
25-03-1999,0.394531,0.416667,0.393229,0.401042,0.367957,4032000
26-03-1999,0.40625,0.4375,0.40625,0.436198,0.400212,8827200
29-03-1999,0.449219,0.459635,0.441406,0.449219,0.412159,6595200
30-03-1999,0.450521,0.454427,0.408854,0.411458,0.377513,6950400
31-03-1999,0.424479,0.445313,0.404948,0.440104,0.403796,15360000
01-04-1999,0.440104,0.442708,0.419271,0.427083,0.391849,3043200
05-04-1999,0.421875,0.432292,0.411458,0.414063,0.379903,9864000
06-04-1999,0.417969,0.419271,0.395833,0.403646,0.370346,6969600
07-04-1999,0.40625,0.440104,0.403646,0.4375,0.401407,8928000
08-04-1999,0.440104,0.458333,0.434896,0.445313,0.408575,13012800
09-04-1999,0.447917,0.447917,0.434896,0.4375,0.401407,4862400
12-04-1999,0.432292,0.432292,0.411458,0.419271,0.384682,3331200
13-04-1999,0.427083,0.427083,0.395833,0.402344,0.369151,3614400
14-04-1999,0.401042,0.410156,0.390625,0.390625,0.358399,4828800
15-04-1999,0.401042,0.401042,0.390625,0.401042,0.367957,3585600
16-04-1999,0.398438,0.420573,0.398438,0.414063,0.379903,3892800
19-04-1999,0.419271,0.419271,0.390625,0.395833,0.363177,3129600
20-04-1999,0.395833,0.411458,0.384115,0.388021,0.35601,6768000
21-04-1999,0.388021,0.395833,0.385417,0.394531,0.361983,3748800
22-04-1999,0.395833,0.395833,0.373698,0.377604,0.346452,22718400
23-04-1999,0.376302,0.377604,0.356771,0.359375,0.329727,12604800
26-04-1999,0.359375,0.364583,0.333333,0.341146,0.313002,12350400
27-04-1999,0.348958,0.380208,0.34375,0.377604,0.346452,22694400
28-04-1999,0.380208,0.380208,0.363281,0.375,0.344063,12009600
29-04-1999,0.376302,0.377604,0.367188,0.375,0.344063,4814400
30-04-1999,0.378906,0.395833,0.376302,0.380208,0.348841,9931200
03-05-1999,0.384115,0.384115,0.372396,0.382813,0.351232,3384000
04-05-1999,0.382813,0.382813,0.354167,0.361979,0.332116,9604800
05-05-1999,0.364583,0.369792,0.34375,0.369792,0.339285,14457600
06-05-1999,0.367188,0.375,0.351563,0.36263,0.332714,3561600
07-05-1999,0.351563,0.367188,0.351563,0.364583,0.334505,2500800
10-05-1999,0.361979,0.372396,0.361979,0.364583,0.334505,1968000
11-05-1999,0.380208,0.395833,0.372396,0.384115,0.352426,17174400
12-05-1999,0.388021,0.397135,0.382813,0.395833,0.363177,16848000
13-05-1999,0.395833,0.40625,0.394531,0.395833,0.363177,6993600
14-05-1999,0.395833,0.395833,0.369792,0.375,0.344063,2846400
17-05-1999,0.369792,0.393229,0.36849,0.393229,0.360788,3576000
18-05-1999,0.397135,0.416667,0.385417,0.411458,0.377513,15153600
19-05-1999,0.429688,0.445313,0.386719,0.393229,0.360788,45172800
20-05-1999,0.395833,0.395833,0.347656,0.361979,0.332116,17817600
21-05-1999,0.356771,0.356771,0.34375,0.354167,0.324949,30350400
24-05-1999,0.356771,0.364583,0.347656,0.352865,0.323754,16262400
25-05-1999,0.354167,0.359375,0.351563,0.355469,0.326143,13008000
26-05-1999,0.354167,0.372396,0.354167,0.354167,0.324949,10473600
27-05-1999,0.356771,0.356771,0.351563,0.351563,0.32256,8232000
28-05-1999,0.356771,0.356771,0.351563,0.355469,0.326143,8865600
01-06-1999,0.354167,0.356771,0.348958,0.356771,0.327338,9854400
02-06-1999,0.356771,0.356771,0.34375,0.34375,0.315391,13012800
03-06-1999,0.352865,0.355469,0.348958,0.352865,0.323754,4156800
04-06-1999,0.355469,0.356771,0.352865,0.355469,0.326143,7891200
07-06-1999,0.357422,0.364583,0.356771,0.359375,0.329727,12513600
08-06-1999,0.360677,0.375,0.359375,0.36849,0.33809,15331200
09-06-1999,0.369792,0.382813,0.369792,0.375,0.344063,9518400
10-06-1999,0.375,0.377604,0.372396,0.376302,0.345258,3609600
11-06-1999,0.376302,0.377604,0.355469,0.36849,0.33809,6100800
14-06-1999,0.369141,0.369792,0.351563,0.354167,0.324949,5164800
15-06-1999,0.354167,0.356771,0.348958,0.354167,0.324949,4929600
16-06-1999,0.359375,0.375,0.354167,0.364583,0.334505,6441600
17-06-1999,0.361979,0.367188,0.354167,0.354167,0.324949,7492800
18-06-1999,0.356771,0.356771,0.341146,0.341146,0.313002,15873600
21-06-1999,0.351563,0.359375,0.342122,0.359375,0.329727,8347200
